Firm Name,Address,Country,Ineligibility Period (From),Ineligibility Period (To),Grounds
METAL ENGINEERING EOOD*72,"16, ILINDEN STREET, PO BOX 293, 3000 VRATSA",Bulgaria,2011-11-16,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
DR.HANS PETER SCHÖNE*47,"RUNGESTRAßE 22/530, D-10179, BERLIN, GERMANY",Germany,2011-08-17,2999-12-31,Consultant Guidelines 1.25(a)(ii)
ALAMTECH INTERNATIONAL AND GENERAL SUPPLIER*235,"34A MALAMA THOMAS STREET, FREETOWN",Sierra Leone,2014-11-06,2999-12-31,"October 2006 Procurement Guidelines, para. 1.14(a)(ii)"
ASDECON CORPORATION COMPANY LIMITED*109,"2782, LAO PRAO 130, LAO PRAO ROAD, KLONGCHAN, BANGKAPI, BANGKOK",Thailand,2012-05-30,2999-12-31,"Consultant Guidelines, 1.25"
"CABINET DE RECHERCHE, DE FORMATION ET D'EXPERTISE EN SANTÉ*39","167, AVENUE NGUNGU, COMMUNE DE KINSHASA, KINSHASA","Congo, Democratic Republic of",2011-07-13,2999-12-31,Consultant Guidelines 1.22(a)(ii)
MR. DMITRY GENNADYEVICH KOSTOUSOV*80,"12A GAGARIN STREET, APT. 45, BEREZOVSKY, SVERDLOVSK OBLAST",Russian Federation,2011-12-06,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
URALKOTLOSERVICE PKF ZAO (TAMBOV)(also known as UralKotloservice Commercial Production Firm Closed Joint-Stock Co.) *78,"7A SHIROKAYA STREET, 392000, TAMBOV",Russian Federation,2011-11-29,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
URALKOTLOSERVICE PKF ZAO (TAMBOV)(also known as UralKotloservice Commercial Production Firm Closed Joint-Stock Co.) *78,"1 KRASNOARMEISKAYA SQUARE, 392023, TAMBOV",Russian Federation,2011-11-29,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
URALKOTLOSERVICE PKF ZAO (TAMBOV)(also known as UralKotloservice Commercial Production Firm Closed Joint-Stock Co.) *78,"7A SHIROKAYA STREET, 390218, TAMBOV",Russian Federation,2011-11-29,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
URALKOTLOSERVICE PKF ZAO (TAMBOV)(also known as UralKotloservice Commercial Production Firm Closed Joint-Stock Co.) *78,"9/7 KRASNOZNAMENNAYA STREET, 620012, YEKATERINBURG",Russian Federation,2011-11-29,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
MR. SEALTIEL OROZCO*51,"CENTRO COMERCIAL SAN FRANCISCO MODULO H-4, MANAGUA, NICARAGUA",Nicaragua,2011-08-23,2999-12-31,Procurement Guidelines 1.14(a)(ii)
LLC UN&CO*32,"C/O MR. NASRIDDIN NASIMOV, NEMAT KORABOEV STREET, BLD-15, APT-1, DUSHANBE",Tajikistan,2011-06-01,2999-12-31,Procurement Guidelines 1.15(a)(ii).
BOFRA S.A.R.L.*112,"101 RUE GÉNÉRAL TESTARD, BRAZZAVILLE","Congo, Republic of",2012-06-18,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
SEGO VENTURES NIGERIA LIMITED* 33,"17B CANERY DRIVE, MKO ABIOLA GARDENS, ALAUSA, IKEJA, LAGOS",Nigeria,2011-06-03,2999-12-31,Procurement Guidelines 1.14(a)(ii)
MR. JOSEPH NUIJTEN* 35,"HAVEN 138, BOTERHAMVAARTWEG 2, B-2030 ANTWERPEN",Belgium,2011-06-10,2999-12-31,Procurement Guidelines 1.15(a)(ii)
MR. ALEX OPUA*59,"PLOT 1442 NAMUGONGO ROAD P.O.BOX 10916, KAMPALA",Uganda,2011-10-17,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
MR. DMITRY GENNADYEVICH KOSTOUSOV*80,"1 KRASNOARMEISKAYA SQUARE, 392023, TAMBOV",Russian Federation,2011-12-06,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
AL-AJAM COMPANY FOR GENERAL CONTRACTING LTD. (AL-AJAM)*101,"BUNYAN AL-SA'DI BUILDING, AL-RABEE STREET, BAGHDAD",Iraq,2012-03-22,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
ASMONTAGE EOOD*52,"2, PAISII HILENDARSKI STR., 2300 PERNIK",Bulgaria,2011-08-30,2999-12-31,Procurement Guidelines 1.15(a)(ii)
"GLOBAL TECHNOLOGY SOLUTIONS, INC.*11","CHICAGO, IL, 60611",United States,2010-04-01,2999-12-31,Sanctions Procedures 9.04(a)
GLOSOLVE LIMITED*11,N/A,United Kingdom,2010-04-01,2999-12-31,Sanctions Procedures 9.04(a)
MR. ROMAN NICU*68,"STR. MUNCESTI, 801, CHISINAU MD-2029",Moldova,2011-11-08,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
URALKOTLOSERVICE PKF ZAO*77,"82 PERVOMAISKAYA STREET, 620062, YEKATERINBURG",Russian Federation,2011-11-29,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
GRASCO COMPANY*113,"SIS NO. 1293 MAMPIRIR, BATIGNOLLES, BRAZZAVILLE","Congo, Republic of",2012-06-18,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
"MARKETING ENTERPRISES LATIN AMERICA, LLC*108","14621 SW 120TH ST. OFF. 102, MIAMI, FL, 33186",United States,2012-05-30,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
CONSTRUCTORA EXTRACON*63,"AVENIDA SANTA CRUZ NO. 4155, BARRIO 24 DE SEPTIEMBRE, SANTA CRUZ DE LA SIERRA",Bolivia,2011-10-25,2999-12-31,2004 Procurement Guidelines 1.14(a)(iii)
"SERVICIOS INDUSTRIALES EN CONSTRUCCIÓN DE METALMÉCANICA Y PETROLERAS ""SICOMETP""*64","CALLE EL CAFETAL NO. 77, ZONA BARRIO EL BAJIO KM. 6, DOBLE VIA LA GUARDIA, SANTA CRUZ DE LA SIERRA",Bolivia,2011-10-25,2999-12-31,2004 Procurement Guidelines 1.14(a)(iii)
CONSTRUCTORA CITECO*65,"CALLE EL CAFETAL NO. 77, ZONA BARRIO EL BAJIO KM. 6, SANTA CRUZ DE LA SIERRA",Bolivia,2011-10-25,2999-12-31,2004 Procurement Guidelines 1.14(a)(iii)
"SINCAM WATER TECHNOLOGY CO., LTD*92","21B STREET 334, SANGKAT BOEUNG KENG KANG 1, KHAN CHAMKAR MON, PHNOM PENH",Cambodia,2012-02-07,2999-12-31,"Procurement Guidelines, 1.15(a)(i)"
MULTISTAR HOLDINGS LIMITED (FORMERLY MULTI-CON SYSTEMS PTE LTD.)*98,"HOCK SENG BUILDING #03-02, 114 LAVENDER STREET, SINGAPORE 338729",Singapore,2012-02-28,2999-12-31,"Procurement Guidelines, 1.15(a)(i)"
JOHN B. KATENDE*66,"PLOT 636, NBEEBA, MASAKA ROAD, P.O. BOX 22057, KAMPALA",Uganda,2011-10-25,2999-12-31,"Procurement Guidelines, 1.14(a)(i) and 1.14(a)(ii)"
DHEMA AGENCIES LIMITED*96,"3 PILKINGTON ROAD, P.O. BOX 2909, KAMPALA",Uganda,2012-02-09,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
MR. TITH VOEURN*94,"21B STREET 334, SANGKAT BOEUNG KENG KANG 1, KHAN CHAMKAR MON, PHNOM PENH",Cambodia,2012-02-07,2999-12-31,"Procurement Guidelines, 1.15(a)(i)"
"ASSOCIATION ""HIDROSTROITEL""*74","KARIM DEVONA STREET 59, HISSAR RAYON, SHARORA DISTRICT",Tajikistan,2011-11-21,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
ASSOCIATION MUHANDISON*31,"C/O MR. NASRIDDIN NASIMOV, NEMAT KORABOEV STREET, BLD-15, APT-1, DUSHANBE",Tajikistan,2011-06-01,2999-12-31,Procurement Guidelines 1.15(a)(ii)
MR. GURDYAL SINGH*88,"P.O. BOX 9062, KAMPALA",Uganda,2012-01-31,2999-12-31,"Procurement Guidelines, 1.14(a)(i)"
"HUBEI SUNLIGHT ELECTRIC CO., LTD.*278","NO. 90 YONG AN AVENUE, XIANAN DISTRICT, XIANNING CITY, HUBEI PROVINCE, 437000",China,2015-07-02,2999-12-31,"Procurement Guidelines,1.14(a)(ii)"
SUPACHAI PRECHATERASAT*56,"151 TEAM BUILDING, MOO 12, NUANCHAN ROAD, KLONG KUM, BUENG KUM, BANGKOK",Thailand,2011-09-20,2999-12-31,Consultant Guidelines 1.25(a)(i)
SOCIAL AND ENVIRONMENTAL DEVELOPMENT JOINT STOCK COMPANY*61,"NO. 20, 445 LAC LONG QUAN STREET,TAY HO DISTRICT, HANOI",Viet Nam,2011-10-18,2999-12-31,Consultant Guidelines 1.22(a)(ii)
PROVEEDURÍA MÉDICA S.R.L.*36,"MEXICO 3100 (C 1233 ABL), BUENOS AIRES",Argentina,2011-06-16,2999-12-31,Procurement Guidelines 1.15(a)(ii)
BITTOHIN CHASI SOMAJ KALLYAN SANGSTHA (BCSKS)*54,"LAST KNOWN ADDRESS: RAHMAN COLONY, C/O ANISUR RAHMAN, 2ND FLOOR, THANAPARA, POST OFFICE ISHURDI, DISTRICT PABNA",Bangladesh,2011-08-31,2999-12-31,Consultant Guidelines 1.25(a)(ii)
MR. K.M. RAHMAN* 42,"LAST KNOWN ADDRESS: HOUSE NO. 300, EIDGHA, ROAD NO. 8/A (NEW), WEST DHANMONDI, DHAKA-1209",Bangladesh,2011-07-29,2999-12-31,Consultant Guidelines 1.25(a)(ii)
SAMAJIK SANGHA (SS)*44,"LAST KNOWN ADDRESS: HOUSE NO. 300, EIDGHA, ROAD NO. 8/A (NEW), WEST DHANMONDI, DHAKA-1209",Bangladesh,2011-07-29,2999-12-31,Consultant Guidelines 1.25(a)(ii)
MRS. SHAMSUNNAHAR*48,"LAST KNOWN ADDRESS: VILLAGE SAROZGANJ, POST OFFICE SAROZGANJ BAZAR, DISTRICT CHUADANG-7200",Bangladesh,2011-08-22,2999-12-31,Consultant Guidelines 1.25(a)(ii)
DEVELOPMENT ACTION CENTRE (DAC)*49,"LAST KNOWN ADDRESS: VILLAGE SAROZGANJ, POST OFFICE SAROZGANJ BAZAR, DISTRICT CHUADANG-7200",Bangladesh,2011-08-22,2999-12-31,Consultant Guidelines 1.25(a)(ii)
MR. MD. SHAMSUL ALAM* 43 and 45,"LAST KNOWN ADDRESS: #68/A, ROAD #9/A, DHANMONDI R/A, DHAKA-1209",Bangladesh,2011-07-29,2999-12-31,Consultant Guidelines 1.25(a)(ii)
HUMAN RESOURCES DEVELOPMENT ORGANIZATION (HURDO)* 43,"LAST KNOWN ADDRESS: #68/A, ROAD #9/A, DHANMONDI R/A, DHAKA-1209",Bangladesh,2011-07-29,2999-12-31,Consultant Guidelines 1.25(a)(ii)
HEFEI HIGHWAY & BRIDGE PROJECT CO. LTD.*37,"NO. 199, BLOCK B, HAOZHOU ROAD, HEFEI CITY, ANHUI PROVINCE",China,2011-06-28,2999-12-31,Procurement Guidelines 1.14(a)(ii)
COLDLINE INCORPORATED,NJ,United States,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
CORD CONSTRUCTION LTD.,ISLE OF MAN,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
DACTUS AB,STOCKHOLM,Sweden,2001-03-30,2999-12-31,Consultant Guidelines 1.25(a)(i) & (ii)
"DARESLEY HOLDING, INC.",BRITISH VIRGIN ISLANDS,United Kingdom,2001-03-05,2999-12-31,Consultant Guidelines 1.25(a)(i)
DAVID RIPER,VA,United States,2002-12-19,2999-12-31,Consultant Guidelines 1.25(a)(i)
DIGIDATA,VA,United States,2002-12-19,2999-12-31,Consultant Guidelines 1.25(a)(i)
EASTERN TRADING LTD.,N/A,United Arab Emirates,2001-04-30,2999-12-31,Procurement Guidelines 1.15(a)(ii)
EMKAY ENTERPRISES LTD.,LONDON,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
ENGINEERING PROJECTS INTERNATIONAL,LONDON,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
GAP INTERNATIONAL,N/A,India,2001-04-30,2999-12-31,Procurement Guidelines 1.15(a)(ii)
"HARLTON INVESTMENTS, INC.",N/A,Ireland,2001-03-05,2999-12-31,Consultant Guidelines 1.25(a)(i)
INTER EMIRATES & CO.,DUBAI,United Arab Emirates,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
INTERNATIONAL DEVELOPMENT PROJECTS SERVICES,LONDON,United Kingdom,2000-02-11,2999-12-31,Consultant Guidelines 1.25(a)(i)
JAN SUNDQVIST,STOCKHOLM,Sweden,2003-08-15,2999-12-31,Procurement Guidelines 1.15(a)(ii)
KAMAL SHARDA,LAGOS,Nigeria,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
KARITEX LIMITED,N/A,Nigeria,2000-02-24,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
KNOWLEDGE ENGINEERING,VA,United States,2002-12-19,2999-12-31,Consultant Guidelines 1.25(a)(i)
LABH UNIVERSAL,COVENTRY,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
MANDEEP S. SANDHU,NJ,United States,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
MEDIRITE GROUP LTD.,MIDDLESEX,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
MR. CLAES FJELLNER,STOCKHOLM,Sweden,2001-03-30,2999-12-31,Consultant Guidelines 1.25(a)(i)
NORDIC TRUST STIFTELSEN I STOCKHOLM AB,STOCKHOLM,Sweden,2001-03-30,2999-12-31,Consultant Guidelines 1.25(a)(i)
NORSK-AGRO LTD.,LONDON,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
O-GROUP BV,AMSTERDAM,Netherlands,2001-03-30,2999-12-31,Consultant Guidelines 1.25(a)(i)
PAVEL ZOLOTARYOV,"ROCKVILLE, MD, 20852",United States,2001-03-05,2999-12-31,Consultant Guidelines 1.25(a)(i)
PENMACS CORPORATION,YOKOHAMA,Japan,1999-10-27,2999-12-31,Consultant Guidelines 1.25(a)(i)
PIERRE SAVIGNAC,"VERDUN, QUEBEC",Canada,1999-03-16,2999-12-31,Procurement Guidelines 1.15(a)(ii)
PRADEEP MENON,LONDON,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
PRADEEP S. NAIR,LONDON,United Kingdom,1999-04-08,2999-12-31,Procurement Guidelines 1.15(a)(ii)
RESOURCE DEVELOPMENT LTD.,ISLE OF MAN,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
SADIN INTERNATIONAL OPERATIONS LTD.,STOCKHOLM,Sweden,2001-03-30,2999-12-31,Consultant Guidelines 1.25(a)(i)
SCAN DISTRIBUTION PTE. LTD.,N/A,Singapore,2001-04-30,2999-12-31,Procurement Guidelines 1.15(a)(ii)
AL-SAMI CO. GROUP FOR GENERAL CONTRACTS LTD.*79,"AL-MANSOUR, 14 RAMADAN ST., BUILDING 82, BAGHDAD",Iraq,2011-11-29,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
MS. VICTORIA SLISARENKO*123,"APT. 1, 11 BURMISTENKA STREET, KIEV, 03127",Ukraine,2012-10-11,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
"INFORMATION COMPUTER SYSTEMS, CJSC*219,  *328","31-33 SMOLENSKA STR., KYIV, 03005",Ukraine,2014-07-09,2040-01-08,"2004 PG, 1.14(a)i, ii, & iii; 2006 PG, 1.14(a)i, (a)iii, & (a)(v)(bb)"
COMÉRCIO PRODUTOS E EQUIPAMENTOS LTDA*125 AKA COMPEQ,"AVENIDA GUAJAJARAS, NO. 25 – JD. SÃO CRISTOVÃO, SÃO LUIS – MARANHÃO",Brazil,2012-10-18,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
PT CITRA GADING ASRITAMA*116,"JL. GAYUNG KEBONSARI A-7, SURABAYA",Indonesia,2012-08-07,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
MR. MUNAWER KHALFAN*177,"POST OFFICE BOX 593, #30 BURHANI COMPLEX, MAGORE ST. UPANGA, DAR ES SALAAM",Tanzania,2014-01-31,2999-12-31,2002 Consultant Guidelines 1.25(a)(i)-(ii)
CONSTRUCTORA TOLEDO*85,"SECTOR 4, LOTE 24, CONDOMINIO LA CUPULA, ZONA 0, JOCOTENANGO, SACATEPEQUEZ",Guatemala,2011-12-28,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
MR. IVO GOMES DA SILVA*128,"AV. GENERAL RIVAS, NO. 235 LETRA B LIBERDADE, SANTA RITA, MARANHÃO",Brazil,2012-10-19,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
NOVO HORIZONTE CONST. E CONS. E COMERCIO LTDA*129,"AV. GENERAL RIVAS, NO. 235 LETRA B LIBERDADE, SANTA RITA, MARANHÃO",Brazil,2012-10-19,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
CONSTRUTORA RAMOS E FRANÇA LTDA*130,"AV. GENERAL RIVAS S/N, SANTA RITA, MARANHÃO",Brazil,2012-10-19,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
CONSTRUTORA RAMOS E FRANÇA LTDA*130,"RUA CASTELO BRANCO NO. 450 – CENTRO, SANTA RITA, MARANHÃO",Brazil,2012-10-19,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
SILVA MATOS CONST. E CONS. E COMERCIO LTDA*127,"AV. IVAR SALDANHA, NO. 105 CENTRO, SANTA RITA, MARANHÃO",Brazil,2012-10-19,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
SILVA MATOS CONST. E CONS. E COMERCIO LTDA*127,"AV. GENERAL RIBAS – NO. 105 - ALTO DE FÁTIMA, SANTA RITA, MARANHÃO",Brazil,2012-10-19,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
SILVA MATOS CONST. E CONS. E COMERCIO LTDA*127,"AV. GENERAL RIVAS, NO. 235 LETRA B LIBERDADE, SANTA RITA, MARANHÃO",Brazil,2012-10-19,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
MR. MARCELO CAMPÊLO*126,"AVENIDA GUAJAJARAS, NO. 25 – JD. SÃO CRISTOVÃO, SÃO LUIS – MARANHÃO",Brazil,2012-10-18,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
VITAL SUPPLIES AND LOGISTICS LTD*100,"PLOT 9, NASSER ROAD, FAIR HOUSE, 2ND FLOOR, P.O. BOX 27181, KAMPALA",Uganda,2012-03-20,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
CONSTRUCTORA KATINGCAR*86,"SECTOR 4, LOTE 24, CONDOMINIO LA CUPULA, ZONA 0, JOCOTENANGO, SACATEPEQUEZ",Guatemala,2011-12-28,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
SERVICIOS DE INGENIERIA Y CONSTRUCCION VARGAS RIOS (CONSTRUCTORA S.I.C.)*90,"3ER. ANILLO EXTERNO, CALLE GABRIEL JOSE MORENO NO. 300, SANTA CRUZ DE LA SIERRA",Bolivia,2012-01-20,2999-12-31,2004 Procurement Guidelines 1.14(a)(ii)
CONSTRUCTORA EMCONCIMET*90,"AV. LA CAMPANA CALLE 12 #29, SANTA CRUZ DE LA SIERRA",Bolivia,2012-01-20,2999-12-31,2004 Procurement Guidelines 1.14(a)(ii)
CONSTRUCTORA SLIM*90     Registration #00124199,"KM. 42. ANTIGUA CARRETERA COCHABAMABA, URB. EQUIPETROL, SANTA CRUZ DE LA SIERRA",Bolivia,2012-01-20,2999-12-31,2004 Procurement Guidelines 1.14(a)(ii)
EDWIN DITTER ACARAPI COLQUE*91,"KM. 42 ANTIGUA CARRETERA COCHABAMABA, URB. EQUIPETROL, SANTA CRUZ DE LA SIERRA",Bolivia,2012-01-20,2999-12-31,2004 Procurement Guidelines 1.14(a)(ii)
MR. MEAS SINA*102,"#51EO, ST. 366, SANGKAT TOUL SVAY, PREY I, KHAN CHAMKARMORN, CITY PHNOM PENH",Cambodia,2012-04-03,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
A PONTUAL – MOTORES E MÁQUINAS LTDA*135,"RUA FREDERICO PEIXOTO S/N, PINHEIRO, MARANHÃO",Brazil,2012-11-13,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
J.M. COMÉRCIO DE EQUIPAMENTOS LTDA (CURRENTLY D/B/A PICK UP CAR AUTO PEÇAS)*131,"AVENIDA GUAJAJARAS, 221 – LJ 4 BAIRRO TIRIRICAL, SÃO LUIS – MARANHÃO",Brazil,2012-11-06,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
OAO DUSTLIK*133,"20 OKTYABARSKY STR., SUZAK VILLAGE, SUZAK DISTRICT, JALAL-ABAD REGION",Kyrgyz Republic,2012-11-07,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
MR. VAKHIDJAN ERGASHEV*134,"20 OKTYABARSKY STR., SUZAK VILLAGE, SUZAK DISTRICT, JALAL-ABAD REGION",Kyrgyz Republic,2012-11-07,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
MR. JOSÉ MAGNO DA SILVA GARRIDO*132,"AVENIDA GUAJAJARAS, 221 LJ 4 – TIRIRICAL, SÃO LUIS – MARANHÃO",Brazil,2012-11-06,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
CONTACT EURO LLC*122,"APT. 1, 11 BURMISTENKA STREET, KIEV, 03127",Ukraine,2012-10-11,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
"AL THUHAT COMPANY, GENERAL CONTRACTING AND TRADE (AL THUHAT)*144","AL KAZIMIYAH, ABDUL MOHSEN AL-KAZIMI SQUARE, DISTRICT: 411 SH/17, BUILDING: 20, BAGHDAD",Iraq,2013-01-29,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
CENNET INŞAAT ITH. IHR. TUR. GIDA SAN. VE TIC. LTD. ŞTI*149,"KASIMOĞLU IŞHANI KAT:4 NO:7, HOPA/ARTVIN, HOPA",Turkiye,2013-03-07,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
MR. MOUSA MAHDI MAKAWI*145,"AL KAZIMIYAH, ABDUL MOHSEN AL-KAZIMI SQUARE, DISTRICT: 411 SH/17, BUILDING: 20, BAGHDAD",Iraq,2013-01-29,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
"CONSTRUCTORA E INVERSIONES LOPEZ CASTILLO, S.A. DE C.V.","CANTON PIEDRAS GORDAS, CASERIO EL TRONCONAL SANTA RITA, CHALATENANGO",El Salvador,2012-09-19,2025-04-30,Cross Debarment:  IDB
L’ENTREPRISE GÉNÉRALE DE CONSTRUCTION SAFIDY*151,"LOT VT 77 LD BIS ANDOHANIMANDROSEZA, ANTANANARIVO 101",Madagascar,2013-05-10,2999-12-31,"Proc. Guidelines, 1.14(a)(ii); Proc. Guidelines, 1.15(a)(ii)"
HERBERT ERNESTO LOPEZ GALLARDO,"CANTON PIEDRAS GORDAS, CASERIO EL TRONCONAL SANTA RITA, CHALATENANGO",El Salvador,2012-09-19,2025-04-30,Cross Debarment:  IDB
CONSTRUCTORA SEDINC*181,"AVENIDA MIGUEL ROCA NO. 22, ZONA: BARRIO MAC DONALDS, SANTA CRUZ",Bolivia,2014-02-14,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
MR. LIZANDRO AGUIRRE TABORGA*182,"AVENIDA MIGUEL ROCA NO. 22, ZONA: BARRIO MAC DONALDS, SANTA CRUZ",Bolivia,2014-02-14,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
CONSTRUCTORA CONSTRUSAND S.R.L.*183,"CALLE BUENOS AIRES # 141, EDIFICIO SANDOVAL, PISO 1, OFICINA 1, ZONA: B/25 DE DECIEMBRE, MONTERO – SANTA CRUZ",Bolivia,2014-02-14,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
MR. RENÉ SANDOVAL SOLIZ*184,"CALLE BUENOS AIRES # 141, EDIFICIO SANDOVAL, PISO 1, OFICINA 1, ZONA: B/25 DE DECIEMBRE, MONTERO – SANTA CRUZ",Bolivia,2014-02-14,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
ENTREPRISE GÉNÉRALE DE CONSTRUCTION ANDO*146,LOT II A 128 SG NANISANA,Madagascar,2013-02-08,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
MR. ERICK RODOLFO GONZÁLEZ CHÁVEZ*143,"BOULEVARD SAN CRISTOBAL 12-13, ZONA 8 MIXCO, GUATEMALA CITY",Guatemala,2013-01-15,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
MR. RAIMUNDO ROSÁRIO BRANDÃO*167,"CARE OF: GEOMETRICA CONSTRUÇÕES LTDA, RUA DO PASSEIO, 953, SALA 209, CENTRO, SÃO LUÍS, MARANHÃO",Brazil,2013-10-03,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
FIRST FUJI LTD.,ISLE OF MAN,United Kingdom,2000-02-11,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
OVERSEAS PROJECT SERVICES LTD.,N/A,United Kingdom,2000-02-24,2999-12-31,Procurement Guidelines 1.15(a)(i) & (ii)
"CENEDI, CENTRAL DE NEGOCIOS DIVERSOS*142","BOULEVARD SAN CRISTOBAL 12-13, ZONA 8 MIXCO, GUATEMALA CITY",Guatemala,2013-01-15,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
D.A. CONSTRUCTION LIMITED*198,"HOUSE NO. 1, 114 ROAD, OFF II ROAD, 1ST AVENUE (A.P. FILLING STATION END), GWARINPA II, P.O. BOX 4824, GARKI, ABUJA",Nigeria,2014-05-06,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
CONSPRIM – CONSTRUTORA PRIMEIRACRUZENSE LTDA*163,"RUA E NO. 03 QUADRA F RESIDENCIAL, PRIMAVERA TURU, SÃO LUÍS, MARANHÃO",Brazil,2013-09-26,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
M/S WIJEKAMAL ENGINEERING PVT. LTD.*154,"E-52, UDUKUMBURA, NELUNDENIYA",Sri Lanka,2013-06-11,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
CONSIA CONSULTANTS APS*363,"LADEGAARDSVEJ 8, DK-2770, KASTRUP",Denmark,2017-03-30,2031-03-29,"2004, 2006, 2010 Consultant Guidelines, Para. 1.22(a)(i)-(ii)"
YAVUZER İNŞAAT MAKINE VE MALZEMELERI SANAYI VE TICARET LTD. ŞTI*156,"ISTIKLAL MAHALLESI SANTRAL SOKAK NO:1/ 23, ESKIŞCHIR",Turkiye,2013-06-18,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
MR. ARTURO JAVIER HARO GUTIÉRREZ*185,"JIRÓN ALTO DE LA ALIANZA NO. 180, DPTO. 116, CERCADO DE LIMA",Peru,2014-03-19,2999-12-31,"Consultant Guidelines, 1.22(a)(ii)"
REEF BUILDING SYSTEMS LIMITED (REEF)*158,"MILIMANI FLATS, MILIMANI ROAD, OFF STATE HOUSE, P.O. BOX 10439-00400 NBI, NAIROBI",Kenya,2013-07-09,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)"
GEOMETRICA CONSTRUÇÕES LTDA*166,"RUA DO PASSEIO, 953, SALA 209, CENTRO, SÃO LUÍS, MARANHÃO",Brazil,2013-10-03,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)"
